Function,Algorithm,Mean,StdDev,Rank
F1_CEC2020,FSRO_Variant5,27796156117.0,8930253865.0,10
F1_CEC2020,DE,3486524704.0,2266683287.0,4
F1_CEC2020,GWO,9579483049.0,3033954736.0,7
F1_CEC2020,HHO,29975432516.0,3.81e-06,11
F1_CEC2020,MFO,5141509162.0,5890908658.0,5
F1_CEC2020,PSO,1567393112.0,2810969353.0,3
F1_CEC2020,SMA,32420963407.0,11831471147.0,14
F1_CEC2020,WOA,29975432516.0,3.81e-06,11
F2_CEC2020,FSRO_Original,3207.934194,321.5153639,8
F2_CEC2020,FSRO_Modified,2040.61179,230.1662583,2
F2_CEC2020,FSRO_Variant1,2652.65239,220.0573069,6
F2_CEC2020,FSRO_Variant2,2652.253884,435.183406,5
F2_CEC2020,FSRO_Variant3,2679.858345,369.5087864,7
F2_CEC2020,FSRO_Variant4,3311.585309,216.449112,9
F2_CEC2020,FSRO_Variant5,3958.584168,286.0991934,10
F2_CEC2020,DE,2035.530678,316.3361501,1
F2_CEC2020,GWO,3963.652179,491.826915,11
F2_CEC2020,HHO,5596.150855,9.09e-13,13
F2_CEC2020,MFO,2609.778184,354.9473211,4
F2_CEC2020,PSO,2050.281471,333.7068979,3
F2_CEC2020,SMA,4197.382542,369.8235125,12
F2_CEC2020,WOA,5596.150855,9.09e-13,13
F3_CEC2020,FSRO_Original,617244.1061,207100.218,12
F3_CEC2020,FSRO_Modified,772.6267411,16.03217052,2
F3_CEC2020,FSRO_Variant1,428183.8553,161490.6525,10
F3_CEC2020,FSRO_Variant2,759.9384175,5.241329538,1
F3_CEC2020,FSRO_Variant3,123721.8027,64961.33946,5
F3_CEC2020,FSRO_Variant4,633181.1011,164334.9944,13
F3_CEC2020,FSRO_Variant5,597910.4508,140424.7808,11
F3_CEC2020,DE,69700.72575,51972.80979,4
F3_CEC2020,GWO,178620.8657,33321.76392,7
F3_CEC2020,HHO,375431.6262,5.82e-11,8
F3_CEC2020,MFO,163440.369,127393.131,6
